ubus ,http://git.openwrt.org/project/ubus.git,Webブラウザでダウンロード
uci ,http://git.openwrt.org/?p=project/uci.git;a=summary,Webブラウザでダウンロード
unfs3 ,https://sourceforge.net/projects/unfs3/,Webブラウザでダウンロード
vconfig ,,
wxgtk ,https://github.com/wxWidgets/wxWidgets/releases/download/v2.8.12/wxGTK-2.8.12.tar.gz,
xampp ,https://sourceforge.net/projects/xampp/,Webブラウザでダウンロード
xdais ,http://software-dl.ti.com/dsps/dsps_public_sw/sdo_sb/targetcontent/xdais/7_24_00_04/exports/xdais_7_24_00_04.tar.gz,
zeromq ,https://github.com/zeromq/libzmq/archive/v4.2.2.tar.gz,
zlib123 ,,
dropbear ,https://github.com/mkj/dropbear/archive/DROPBEAR_2017.75.zip,
eject ,http://www.paldo.org/paldo/sources/eject/eject-2.1.5.tar.bz2,
esound ,http://ftp.gnome.org/pub/gnome/sources/esound/0.2/esound-0.2.41.tar.bz2,
hal ,https://hal.freedesktop.org/releases/hal-0.5.14.tar.gz,
libupnp ,https://sourceforge.net/projects/pupnp/files/,Webブラウザでダウンロード
mkinitrd ,https://github.com/openSUSE/mkinitrd/archive/master.zip,
trsha5 ,,
e1000e ,https://downloadcenter.intel.com/download/15817,Webブラウザでダウンロード
eventlog ,,
fakeroot ,http://http.debian.net/debian/pool/main/f/fakeroot/fakeroot_1.22.orig.tar.bz2,
gdome ,,
libelf ,http://www.mr511.de/software/libelf-0.8.13.tar.gz,
libmpt ,,
merge ,,
motd ,,
opkg ,https://git.yoctoproject.org/cgit/cgit.cgi/opkg/snapshot/opkg-0.3.5.zip,
otherlicenses ,,
